year,LIBELLES,imports_fcfa,exports_fcfa,imports_tonnes,exports_tonnes
2021,"Armes, munitions et leurs parties et accessoires",1.8,0.0,0.2,0.0
2022,"Armes, munitions et leurs parties et accessoires",0.8,0.1,0.0,0.0
2023,"Armes, munitions et leurs parties et accessoires",1.5,0.0,0.4,0.0
2014,Métaux communs et ouvrages en ces métaux,157.6,50.6,370.7,205.1
2015,Métaux communs et ouvrages en ces métaux,143.7,40.4,326.2,167.7
2016,Métaux communs et ouvrages en ces métaux,169.6,61.3,396.8,190.0
2017,Métaux communs et ouvrages en ces métaux,186.4,102.1,370.1,199.4
2018,Métaux communs et ouvrages en ces métaux,194.5,115.4,354.8,229.3
2019,Métaux communs et ouvrages en ces métaux,202.8,101.1,387.9,261.2
2020,Métaux communs et ouvrages en ces métaux,183.9,11.6,462.4,36.0
2021,Métaux communs et ouvrages en ces métaux,210.8,13.7,428.7,35.7
2022,Métaux communs et ouvrages en ces métaux,290.8,27.8,475.5,62.7
2023,Métaux communs et ouvrages en ces métaux,242.7,18.7,435.3,55.5
2014,"Machines et appareils, matériel électrique et leurs parties, etc.",223.9,20.6,82.2,7.0
2015,"Machines et appareils, matériel électrique et leurs parties, etc.",273.5,20.8,84.8,5.8
2016,"Machines et appareils, matériel électrique et leurs parties, etc.",365.2,17.5,113.8,5.5
2017,"Machines et appareils, matériel électrique et leurs parties, etc.",501.6,19.8,155.5,8.2
2018,"Machines et appareils, matériel électrique et leurs parties, etc.",427.4,20.6,152.4,8.6
2019,"Machines et appareils, matériel électrique et leurs parties, etc.",464.2,22.4,172.0,5.5
2020,"Machines et appareils, matériel électrique et leurs parties, etc.",406.8,19.9,169.1,57.3
2021,"Machines et appareils, matériel électrique et leurs parties, etc.",396.9,23.8,157.8,9.9
2022,"Machines et appareils, matériel électrique et leurs parties, etc.",429.0,29.1,147.3,11.4
2023,"Machines et appareils, matériel électrique et leurs parties, etc.",436.5,42.0,147.3,17.0
2014,Matériel de transport,134.6,15.8,127.5,5.4
2015,Matériel de transport,182.4,19.6,144.5,4.4
2016,Matériel de transport,157.8,17.3,138.0,3.7
2017,Matériel de transport,207.3,13.1,177.4,4.9
2018,Matériel de transport,217.0,8.3,182.4,3.6
2019,Matériel de transport,258.3,26.0,167.6,3.9
2020,Matériel de transport,191.8,8.4,182.1,2.7
2021,Matériel de transport,209.0,16.6,220.2,5.0
2022,Matériel de transport,190.7,17.8,202.8,5.0
2023,Matériel de transport,191.0,29.1,170.0,10.7
2014,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",15.3,1.2,2.5,0.1
2015,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",20.3,0.7,2.1,0.0
2016,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",21.3,0.4,2.7,0.0
2017,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",21.5,1.2,3.9,0.0
2018,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",27.8,0.6,3.3,0.0
2019,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",25.6,1.0,3.4,0.1
2020,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",40.5,0.6,5.2,0.0
2021,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",30.9,0.8,3.2,0.0
2022,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",37.3,1.0,3.6,0.0
2023,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",30.3,1.1,3.1,0.1
2014,Marchandises et produits divers,18.1,1.2,22.7,0.6
2015,Marchandises et produits divers,15.8,1.6,20.4,0.7
2016,Marchandises et produits divers,22.4,1.2,26.8,0.3
2017,Marchandises et produits divers,21.3,1.5,35.2,0.4
2018,Marchandises et produits divers,25.4,1.2,38.4,0.4
2019,Marchandises et produits divers,20.0,1.4,28.1,0.7
2020,Marchandises et produits divers,22.0,1.1,32.5,0.5
2021,Marchandises et produits divers,30.5,1.1,37.3,0.5
2022,Marchandises et produits divers,28.3,1.0,46.4,0.5
2023,Marchandises et produits divers,27.9,2.0,52.1,1.0
2014,"Objets d'art, de collection ou d'antiquité",0.0,0.2,0.0,0.1
2015,"Objets d'art, de collection ou d'antiquité",0.0,0.3,0.0,0.1
2016,"Objets d'art, de collection ou d'antiquité",0.0,0.2,0.0,0.1
2017,"Objets d'art, de collection ou d'antiquité",0.0,0.3,0.0,0.1
2018,"Objets d'art, de collection ou d'antiquité",0.0,0.4,0.1,0.1
2019,"Objets d'art, de collection ou d'antiquité",0.0,0.3,0.3,0.1
2020,"Objets d'art, de collection ou d'antiquité",0.0,0.2,0.1,0.1
2021,"Objets d'art, de collection ou d'antiquité",0.0,0.2,0.1,0.1
2022,"Objets d'art, de collection ou d'antiquité",0.1,0.1,0.0,0.0
2023,"Objets d'art, de collection ou d'antiquité",0.1,0.1,0.0,0.1
