SH,LIBELLES,year,production_fcfa,production_tonnes,consommation_fcfa,consommation_tonnes,imports_fcfa,exports_fcfa,imports_tonnes,exports_tonnes
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2021,29.0,167.5,29.0,163.3,29.0,0.0,165.4,2.1
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2021,2176.6,2.1,-2175.4,1.9,0.6,2176.0,2.0,0.1
XIX,"Armes, munitions et leurs parties et accessoires",2021,1.8,0.2,1.8,0.2,1.8,0.0,0.2,0.0
XV,Métaux communs et ouvrages en ces métaux,2021,224.5,464.4,197.1,393.0,210.8,13.7,428.7,35.7
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2021,420.7,167.70000000000002,373.1,147.9,396.9,23.8,157.8,9.9
XVII,Matériel de transport,2021,225.6,225.2,192.4,215.2,209.0,16.6,220.2,5.0
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2021,31.7,3.2,30.1,3.2,30.9,0.8,3.2,0.0
XX,Marchandises et produits divers,2021,31.6,37.8,29.4,36.8,30.5,1.1,37.3,0.5
XXI,"Objets d'art, de collection ou d'antiquité",2021,0.2,0.2,-0.2,0.0,0.0,0.2,0.1,0.1
Ensemble,TOTAL,2022,6364.8,10285.6,681.0,5891.0,3522.9,2841.9,8088.3,2197.3
I,Animaux vivants et produits du règne animal,2022,36.9,198.6,34.9,192.8,35.9,1.0,195.7,2.9
II,Produit du règne végétal,2022,393.2,1584.0,-0.8000000000000114,777.1999999999999,196.2,197.0,1180.6,403.4
III,Graisses et huiles animales ou végétales,2022,35.9,84.3,-3.1000000000000014,31.9,16.4,19.5,58.1,26.2
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2022,172.5,482.7,128.7,311.1,150.6,21.9,396.9,85.8
IX,"Bois, charbons de bois et ouvrages en bois",2022,8.1,63.900000000000006,7.7,63.5,7.9,0.2,63.7,0.2
V,Produits minéraux,2022,1539.4,5548.400000000001,1325.2,2967.8,1432.3,107.1,4258.1,1290.3
VI,Produits des industries chimiques et connexes,2022,442.6,549.6999999999999,420.0,497.9,431.3,11.3,523.8,25.9
VII,Matières plastiques et ouvrages en ces matières,2022,120.7,144.70000000000002,115.1,127.9,117.9,2.8,136.3,8.4
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2022,6.0,21.6,5.0,21.2,5.5,0.5,21.4,0.2
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2022,51.2,51.1,47.6,49.3,49.4,1.8,50.2,0.9
XI,Matières textiles et ouvrages en ces matières,2022,357.9,383.4,-241.1,-161.39999999999998,58.4,299.5,111.0,272.4
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2022,7.399999999999999,28.2,7.2,27.8,7.3,0.1,28.0,0.2
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2022,36.1,186.6,35.7,185.6,35.9,0.2,186.1,0.5
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2022,2103.2000000000003,2.8000000000000003,-2101.4,2.6,0.9,2102.3,2.7,0.1
XIX,"Armes, munitions et leurs parties et accessoires",2022,0.9,0.0,0.7000000000000001,0.0,0.8,0.1,0.0,0.0
XV,Métaux communs et ouvrages en ces métaux,2022,318.6,538.2,263.0,412.8,290.8,27.8,475.5,62.7
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2022,458.1,158.70000000000002,399.9,135.9,429.0,29.1,147.3,11.4
XVII,Matériel de transport,2022,208.5,207.8,172.89999999999998,197.8,190.7,17.8,202.8,5.0
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2022,38.3,3.6,36.3,3.6,37.3,1.0,3.6,0.0
XX,Marchandises et produits divers,2022,29.3,46.9,27.3,45.9,28.3,1.0,46.4,0.5
XXI,"Objets d'art, de collection ou d'antiquité",2022,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0
Ensemble,TOTAL,2023,6286.9,11284.7,866.7000000000003,7218.099999999999,3576.8,2710.1,9251.4,2033.3
I,Animaux vivants et produits du règne animal,2023,48.9,202.0,41.1,194.2,45.0,3.9,198.1,3.9
II,Produit du règne végétal,2023,366.6,1780.1,-2.4000000000000057,831.3000000000001,182.1,184.5,1305.7,474.4
III,Graisses et huiles animales ou végétales,2023,44.5,203.4,9.9,166.79999999999998,27.2,17.3,185.1,18.3
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2023,183.1,653.5999999999999,135.70000000000002,418.0,159.4,23.7,535.8,117.8
IX,"Bois, charbons de bois et ouvrages en bois",2023,10.7,70.60000000000001,9.7,62.2,10.2,0.5,66.4,4.2
V,Produits minéraux,2023,1649.5,6207.6,1486.9,3846.0,1568.2,81.3,5026.8,1180.8
VI,Produits des industries chimiques et connexes,2023,422.0,608.0,401.0,581.8,411.5,10.5,594.9,13.1
